CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"884","4",Queens,"088400","4088400",,Howard Beach-Lindenwood,QN1003,QN10,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),"36081088400","4410",39900.20792170000,16672406.53549999930,Queens,"36081088400","7578",1400000US36081088400,"Census Tract 884, Queens County, New York","403774200","99327220"
"183.01","2",Bronx,"018301","2018301",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005018301","4204",4067.50793959000,719418.26112799998,Bronx,"36005018301","4423",1400000US36005018301,"Census Tract 183.01, Bronx County, New York","141375700","21034399"
"59.02","2",Bronx,"005902","2005902",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005005902","4204",5191.75751696000,764814.62688700005,Bronx,"36005005902","2577",1400000US36005005902,"Census Tract 59.02, Bronx County, New York","76866200","16619304"
"146.05","5",Staten Island,"014605","5014605",,Great Kills-Eltingville,SI0302,SI03,SI03 South Shore (CD 3 Approximation),"36085014605","4503",14559.76834440000,9497529.12028999999,Staten Island,"36085014605","3785",1400000US36085014605,"Census Tract 146.05, Richmond County, New York","184031200","41361262"
"512","3",Brooklyn,"051200","3051200",,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047051200","4314",5528.80893760000,1506254.07694000006,Brooklyn,"36047051200","5946",1400000US36047051200,"Census Tract 512, Kings County, New York","199053100","30891453"
"506","3",Brooklyn,"050600","3050600",,Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047050600","4314",6696.15176711000,1771606.05024000001,Brooklyn,"36047050600","5612",1400000US36047050600,"Census Tract 506, Kings County, New York","189426100","33173514"
"63","3",Brooklyn,"006300","3006300",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047006300","4306",5680.88036982000,1081285.37532000011,Brooklyn,"36047006300","2007",1400000US36047006300,"Census Tract 63, Kings County, New York","191764500","31341731"
"59","3",Brooklyn,"005900","3005900",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047005900","4306",10147.30477380000,3843225.68257999979,Brooklyn,"36047005900","1742",1400000US36047005900,"Census Tract 59, Kings County, New York","83669200","25862263"
"381","4",Queens,"038100","4038100",,North Corona,QN0303,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081038100","4403",7065.66296147000,3074856.18638999993,Queens,"36081038100","6966",1400000US36081038100,"Census Tract 381, Queens County, New York","134394800","20616533"
"213","5",Staten Island,"021300","5021300",,Port Richmond,SI0106,SI01,SI01 North Shore (CD 1 Equivalent),"36085021300","4501",14578.84981770000,8432869.65087999962,Staten Island,"36085021300","5737",1400000US36085021300,"Census Tract 213, Richmond County, New York","134587000","24074701"
